"seller_id","total_revenue","total_orders","on_time_deliveries","on_time_delivery_pct","avg_review_score"
"9f505651f4a6abe901a56cdc21508025",31862.589999999975,"426","406","95.31","4.28"
"a3a38f4affed601eb87a97788c949667",31479.27999999998,"260","248","95.38","4.39"
"8b321bb669392f5163d04c59e235e066",31186.94000000001,"1005","902","89.75","4.00"
"900ba814c251a692506d7834c1218441",31167.45999999999,"86","74","86.05","4.19"
"16090f2ca825584b5a147ab24aa30c86",30984.02,"406","362","89.16","4.04"
"d2374cbcbb3ca4ab1086534108cc3ab7",30370.229999999927,"620","587","94.68","3.63"
"12b9676b00f60f3b700e83af21824c0e",29901.66999999999,"133","131","98.50","4.54"
"c003204e1ab016dfa150abc119207b24",29618.459999999977,"200","187","93.50","4.42"
"b32be1695eb7ec5f10f72d9610a12527",29512.679999999997,"45","43","95.56","4.16"
"7e1fb0a3ebfb01ffb3a7dae98bf3238d",29052.619999999974,"169","146","86.39","4.13"
"de23c3b98a88888289c6f5cc1209054a",28579.860000000022,"178","162","91.01","4.30"
"897060da8b9a21f655304d50fd935913",28258.329999999976,"413","363","87.89","3.40"
"dc4a0fc896dc34b0d5bfec8438291c80",28148.060000000005,"242","226","93.39","3.78"
"a416b6a846a11724393025641d4edd5e",27865.799999999996,"176","154","87.50","4.16"
"1c68394e931a64f90ea236c5ea590300",27729.160000000003,"171","165","96.49","3.98"
"f62d7bb4a613ec758a03342d46b580b2",26790.590000000004,"32","28","87.50","4.38"
"1a3df491d1c4f1589fc2b934ada68bf2",26550.629999999986,"171","162","94.74","4.16"
"b94cc9f10ddc85e4ba73a6f7974e7101",26368.49,"39","36","92.31","4.30"
"710e3548e02bc1d2831dfc4f1b5b14d4",26111.90999999999,"137","131","95.62","3.40"
"7ad32824caee82087b3e2e5f33b1bf32",25495.80000000001,"180","157","87.22","3.79"
"612170e34b97004b3ba37eae81836b4c",25372.08,"110","108","98.18","4.43"
"f45122a9ab94eb4f3f8953578bc0c560",25043.870000000006,"197","183","92.89","3.91"
"8f2ce03f928b567e3d56181ae20ae952",24969.800000000014,"172","147","85.47","4.08"
"729f06993dac8e860d4f02d7088ca48a",24798.27000000002,"113","102","90.27","4.29"
"2b3e4a2a3ea8e01938cabda2a3e5cc79",24535.099999999995,"54","54","100.00","4.39"
